abstract,lead_paragraph,headline,headline_main,abstract_polarity,abstract_subjectivity,lead_paragraph_polarity,lead_paragraph_subjectivity,headline_polarity,headline_subjectivity,year,month
"The removal of Cardinal Roger M. Mahony, who is retired, came as the church released documents showing how he shielded priests who sexually abused children.","LOS ANGELES — Cardinal Roger M. Mahony, who retired less than two years ago as the leader of the nation’s largest Roman Catholic archdiocese, was removed from all public duties by his successor, Archbishop José H. Gomez, as the church complied with a court order to release thousands of pages of internal documents that show how the cardinal shielded priests who sexually abused children. ","{'main': 'Cardinal in Los Angeles Is Removed From Duties', 'kicker': None, 'content_kicker': None, 'print_headline': 'Cardinal In Los Angeles Is Removed From Duties', 'name': None, 'seo': None, 'sub': None}",Cardinal in Los Angeles Is Removed From Duties,0.5,0.8333333333333334,0.06666666666666668,0.21333333333333332,0.0,0.0,2013,2
"The decision leaves the Republicans without a candidate yet for the special election set for June 25, and it could leave the seat in Democratic hands.","Scott P. Brown on Friday opted out of the Senate race in Massachusetts to fill the seat being vacated by John Kerry, leaving Republicans without a candidate for the special election set for June 25.","{'main': 'Brown Decides Against Massachusetts Senate Bid', 'kicker': 'The Caucus', 'content_kicker': None, 'print_headline': 'Ex-Senator to Stay Out Of Race for Kerry’s Seat', 'name': None, 'seo': None, 'sub': None}",Brown Decides Against Massachusetts Senate Bid,0.35714285714285715,0.5714285714285714,0.35714285714285715,0.5714285714285714,0.0,0.0,2013,2
The suit contends that the agent discriminated by taking crime on an Indian reservation less seriously than crime elsewhere.,"Two families from the Crow Indian Reservation in Montana can proceed with a lawsuit against an F.B.I. agent that accuses him of failing to properly investigate crimes against American Indians on and around the reservation, the United States Supreme Court has ruled.","{'main': 'Crow Indians’ Lawsuit Against F.B.I. Agent to Proceed', 'kicker': None, 'content_kicker': None, 'print_headline': 'Crow Indians’ Lawsuit Against F.B.I. Agent to Proceed', 'name': None, 'seo': None, 'sub': None}",Crow Indians’ Lawsuit Against F.B.I. Agent to Proceed,-0.25,0.36666666666666664,0.0,0.05,0.0,0.0,2013,2
"Sheriffs from across the country, mostly in rural areas, split with their urban counterparts on gun control.","DENVER — The same day that President Obama unveiled his plan to address gun violence, the sheriff of Larimer County, Justin Smith, took to his personal Facebook page.","{'main': 'Some Sheriffs Object to Call for Tougher Gun Laws', 'kicker': None, 'content_kicker': None, 'print_headline': 'Some Sheriffs Object to Call for Tougher Gun Laws', 'name': None, 'seo': None, 'sub': None}",Some Sheriffs Object to Call for Tougher Gun Laws,0.0,0.0,0.0,0.2125,0.0,0.0,2013,2
Mohamed Osman Mohamud was found guilty of pushing a button that turned out to be an F.B.I. decoy device at a Christmas tree lighting ceremony in 2010 in Portland.,"PORTLAND, Ore. — A 21-year-old Somali-American arrested here in late 2010 after pushing a cellphone button to trigger what he believed was a huge car bomb — in fact an elaborate and inert F.B.I. decoy device — was convicted on Thursday in Federal District Court of attempting to use a weapon of mass destruction. He faces up to life in prison.","{'main': 'Oregon Man Convicted in Holiday Bombing Plot', 'kicker': None, 'content_kicker': None, 'print_headline': 'Oregon Man Convicted In Holiday Bombing Plot', 'name': None, 'seo': None, 'sub': None}",Oregon Man Convicted in Holiday Bombing Plot,-0.5,1.0,0.19999999999999998,0.8333333333333334,0.0,0.0,2013,2
"Cardinal Roger Mahony, the former archbishop of Los Angeles, insisted that his approach to sexual abuse had evolved as he learned more over the years.","LOS ANGELES — The church files are filled with outrage, pain and confusion. There are handwritten notes from distraught mothers, accounts of furious phone calls from brothers and perplexed inquiries from the police following up on allegations of priests sexually abusing children.","{'main': 'Diocese Papers in Los Angeles Detail Decades of Abuse', 'kicker': None, 'content_kicker': None, 'print_headline': 'Diocese Papers Detail Decades Of Abuse Cases', 'name': None, 'seo': None, 'sub': None}",Diocese Papers in Los Angeles Detail Decades of Abuse,0.3333333333333333,0.4444444444444445,0.14,0.7466666666666667,0.0,0.0,2013,2
"As far back as 1917, with the impeachment of Gov. James E. Ferguson for misapplication of public funds, ethics scandals have tainted Texas lawmakers and those who do business with them.",There was no reason to suspect that the 1971 session of the Texas Legislature would be much different from the ones that preceded it.,"{'main': 'Long Haul Taking on a History of Scandal', 'kicker': 'The Texas Tribune', 'content_kicker': None, 'print_headline': 'Long Haul Taking On A History Of Scandal', 'name': None, 'seo': None, 'sub': None}",Long Haul Taking on a History of Scandal,0.03333333333333333,0.35555555555555557,0.0,0.6,-0.05,0.4,2013,2
The Obama administration proposed a compromise that it said would guarantee free coverage of birth control while allowing churches and religious organizations not to pay for it.,"WASHINGTON — The Obama administration on Friday proposed yet another compromise to address strenuous objections from religious organizations about a policy requiring health insurance plans to provide free contraceptives, but the change did not end the political furor or legal fight over the issue.","{'main': 'Birth Control Rule Altered to Allay Religious Objections', 'kicker': None, 'content_kicker': None, 'print_headline': 'Compromise Idea For the Insuring Of Birth Control', 'name': None, 'seo': None, 'sub': None}",Birth Control Rule Altered to Allay Religious Objections,0.2,0.525,0.15000000000000002,0.3375,0.0,0.25,2013,2
Pennsylvania’s new attorney general is set to name a special prosecutor to investigate Gov. Tom Corbett’s handling of the Penn State child sexual abuse case.,"HARRISBURG, Pa. — First it was a criminal case. Then it enveloped a university athletic program. Now the Penn State child sexual abuse scandal has infiltrated the realm of politics.","{'main': 'Investigation to Focus on Governor’s Handling of Penn State Abuse Case', 'kicker': None, 'content_kicker': None, 'print_headline': 'Investigation to Focus on Governor’s Handling of Penn State Abuse Case', 'name': None, 'seo': None, 'sub': None}",Investigation to Focus on Governor’s Handling of Penn State Abuse Case,0.2608766233766234,0.5898268398268398,0.11666666666666665,0.5722222222222223,0.0,0.0,2013,2
"The governor’s State of the State address was subtler than the one he gave two years ago, when he was setting up for a presidential run, but it was still political.","Ross Ramsey, the executive editor at The Texas Tribune, writes a column for The Tribune.","{'main': 'Perry’s Agenda Touches on Both Policy and Politics', 'kicker': 'The Texas Tribune', 'content_kicker': None, 'print_headline': 'Perry’s Agenda Touches On Both Policy and Politics', 'name': None, 'seo': None, 'sub': None}",Perry’s Agenda Touches on Both Policy and Politics,0.0,0.1,0.0,0.0,0.0,0.0,2013,2
"As he makes his case for major immigration changes, President Obama is turning to a forum he used effectively during his two presidential campaigns: the Hispanic media.","As he makes his case for major immigration changes, President Obama is turning to a forum he used effectively during his two presidential campaigns: the Hispanic media.","{'main': 'On Immigration, a Campaign-Style Push in Hispanic Media', 'kicker': 'The Caucus', 'content_kicker': None, 'print_headline': None, 'name': None, 'seo': None, 'sub': None}","On Immigration, a Campaign-Style Push in Hispanic Media",0.33125,0.65,0.33125,0.65,0.0,0.0,2013,2
Democrats offer two approaches in seeking to replace John Kerry in the Senate: moderation or liberal fealty.,"BOSTON — The declared candidates in Massachusetts’ special Senate election, Representative Edward J. Markey and Representative Stephen F. Lynch, gave Democrats a first glimpse into their primary contest Thursday night, with Mr. Lynch casting himself as a candidate who can appeal to political moderates, while Mr. Markey focused on his liberal stands.","{'main': 'Markey and Lynch Outline Visions in Vying for Massachusetts Senate Seat', 'kicker': 'The Caucus', 'content_kicker': None, 'print_headline': None, 'name': None, 'seo': None, 'sub': None}",Markey and Lynch Outline Visions in Vying for Massachusetts Senate Seat,0.0,0.0,0.2517857142857143,0.3761904761904762,0.0,0.0,2013,2
"People who wanted a ticket reduced or dismissed paid for the favor with goods and services, prosecutors say.","PHILADELPHIA — Federal prosecutors on Thursday unveiled fraud charges against nine sitting and former Philadelphia Traffic Court judges accused of dismissing or reducing traffic citations for political, business and social associates in return for favors like free car repairs and shipments of seafood.","{'main': 'Philadelphia Judges Indicted in Ticket Case', 'kicker': None, 'content_kicker': None, 'print_headline': 'Philadelphia Judges Indicted in Ticket Case', 'name': None, 'seo': None, 'sub': None}",Philadelphia Judges Indicted in Ticket Case,0.0,0.0,0.10833333333333334,0.2416666666666667,0.0,0.0,2013,2
Comments by the president’s that he shoots clay pigeons “all the time” at Camp David draw surprise — and skepticism.,WASHINGTON — When President Obama mentioned last week that he had picked up a new hobby — skeet shooting at Camp David — it was a surprising disclosure by a president whose main identification with guns these days is his effort to ban assault rifles and high-capacity magazines.,"{'main': 'President Claims Shooting as a Hobby, and the White House Offers Evidence', 'kicker': None, 'content_kicker': None, 'print_headline': 'President Claims Shooting as a Hobby, and the White House Offers Evidence', 'name': None, 'seo': None, 'sub': None}","President Claims Shooting as a Hobby, and the White House Offers Evidence",0.0,0.0,0.25075757575757573,0.3386363636363636,0.05,0.0,2013,2
"Amid organic farms and ranches, the government is opening up thousands of acres of public land for oil and gas drilling, part of its largest lease sale in Colorado since President Obama took office.","PAONIA, Colo. — For a glimpse into the complications of President Obama’s “all of the above” energy policy, follow a curling mountain road through the aspens and into central Colorado’s North Fork Valley, where billboards promote “gently grown” fruits and farmers sell fresh milk and raw honey from pay-what-you-can donation boxes.","{'main': 'Colorado Communities Take On Fight Against Energy Land Leases', 'kicker': None, 'content_kicker': None, 'print_headline': 'Colorado Communities Take On Fight Against Energy Land Leases', 'name': None, 'seo': None, 'sub': None}",Colorado Communities Take On Fight Against Energy Land Leases,0.0,0.06666666666666667,0.05384615384615384,0.42230769230769233,0.0,0.0,2013,2
Chuck Hagel’s grilling as nominee for defense secretary was striking in a place where respect for fellow and retired senators of the same party has been more or less a given.,"WASHINGTON — If Senator John McCain had an inkling of curiosity how his old buddy Chuck Hagel felt as the senator raked him over the confirmation coals on Thursday, Mr. McCain would get a slight taste an hour later during his own rendezvous with rudeness. ","{'main': 'In Senate, Traditional Decorum Gives Way to New Discord', 'kicker': None, 'content_kicker': None, 'print_headline': 'In Hidebound Senate, Decorum Becomes Less Traditional', 'name': None, 'seo': None, 'sub': None}","In Senate, Traditional Decorum Gives Way to New Discord",0.20833333333333334,0.42291666666666666,0.13333333333333333,0.3416666666666667,0.06818181818181818,0.6022727272727273,2013,2
The announcement last week ending the ban on women in combat only accelerated a sweeping re-examination of fitness standards in the American military.,WASHINGTON — How many pull-ups does it take to make a female Marine?,"{'main': 'First Pull-Ups, Then Combat, Marines Say', 'kicker': None, 'content_kicker': None, 'print_headline': 'First Pull-Ups, Then Combat, Marines Say', 'name': None, 'seo': None, 'sub': None}","First Pull-Ups, Then Combat, Marines Say",-0.025,0.2916666666666667,0.25,0.3333333333333333,0.25,0.3333333333333333,2013,2
"Political news from today’s Times, the president’s weekly address, plus a look at what’s happening in Washington.",In Today’s Times,"{'main': 'The Early Word: Push and Tug', 'kicker': 'The Caucus', 'content_kicker': None, 'print_headline': None, 'name': None, 'seo': None, 'sub': None}",The Early Word: Push and Tug,0.0,0.1,0.0,0.0,0.1,0.3,2013,2
"For the religious, evolution continues to divide more than 150 years after “On the Origin of Species.”","On Jan. 22, Rush D. Holt, a Democrat who represents central New Jersey’s 12th Congressional District, introduced a resolution designating Feb. 12, 2013 — Charles Darwin’s 204th birthday — as Darwin Day, “recognizing the importance of science in the betterment of humanity.”","{'main': 'Seeing Darwin Through Christian Eyes? It All Depends on the Christian', 'kicker': 'Beliefs', 'content_kicker': None, 'print_headline': 'Seeing Darwin Through Christian Eyes? It All Depends on the Christian', 'name': None, 'seo': None, 'sub': None}",Seeing Darwin Through Christian Eyes? It All Depends on the Christian,0.25,0.375,0.06818181818181818,0.3522727272727273,0.0,0.0,2013,2
"A day after a lead prosecutor was fatally shot in an employee parking lot near his office, the police said they had no motive or suspects.","KAUFMAN, Tex. — The county courthouse here reopened Friday, the day after it was locked down and closed after the fatal shooting of a lead prosecutor by an unknown killer or killers. ","{'main': 'No Suspects Are Identified in Texas Prosecutor’s Death', 'kicker': None, 'content_kicker': None, 'print_headline': 'No Suspects Are Identified In Texas Prosecutor’s Death', 'name': None, 'seo': None, 'sub': None}",No Suspects Are Identified in Texas Prosecutor’s Death,0.1,0.4,-0.11851851851851851,0.32962962962962966,0.0,0.0,2013,2
The 30-second spot by Mayors Against Illegal Guns will run on CBS stations in the Washington D.C. market in an effort to push Congress to pass universal background checks on all gun purchases.,One of the nation’s leading gun control groups has bought television time during Sunday’s Super Bowl in an effort to push Congress to pass universal background checks on all firearm purchases.,"{'main': 'Gun Control Group Buys Ad Time for Super Bowl', 'kicker': 'The Caucus', 'content_kicker': None, 'print_headline': None, 'name': None, 'seo': None, 'sub': None}",Gun Control Group Buys Ad Time for Super Bowl,-0.25,0.25,0.16666666666666666,0.3333333333333333,0.3333333333333333,0.6666666666666666,2013,2
"The police say Jimmy Lee Dykes has held a 5-year-old boy hostage in Alabama for more than four days now, after he kidnapped the boy from a school bus and killed the driver.","MIDLAND CITY, Ala. — The vigils continued in and around this southeastern Alabama town on Saturday. They were held in private homes, at the gazebo next to City Hall and, perhaps most somberly, on the grassy hill where swarms of federal agents were watching the underground bunker where, they said, a man named Jimmy Lee Dykes had held a 5-year-old boy hostage for more than four days. ","{'main': 'Hope and Fear Mix as a Hostage Situation Drags On', 'kicker': None, 'content_kicker': None, 'print_headline': 'Hope and Fear Mix as a Hostage Situation Drags On', 'name': None, 'seo': None, 'sub': None}",Hope and Fear Mix as a Hostage Situation Drags On,0.15,0.25,0.25,0.34375,0.0,0.0,2013,2
"The convergence reflects the fact that suicide numbers are rising slightly among both veterans and everyone else, but has increased more in the general population.","Suicides among military veterans, though up slightly in recent years, account for a shrinking percentage of the nation’s total number of suicides — a result of steadily rising numbers of suicides in the general population, according to a report released on Friday by the Department of Veterans Affairs. ","{'main': 'As Suicides Rise in U.S., Veterans Are Less of Total', 'kicker': None, 'content_kicker': None, 'print_headline': 'As Suicides Rise in U.S., Veterans Are Less of Total', 'name': None, 'seo': None, 'sub': None}","As Suicides Rise in U.S., Veterans Are Less of Total",0.1277777777777778,0.38888888888888884,0.023333333333333334,0.42000000000000004,-0.08333333333333333,0.4083333333333333,2013,2
"The instincts of Hillary Rodham Clinton, the departing secretary of state, were often more activist than those of a White House that has kept a tight grip on foreign policy.","WASHINGTON — Last summer, as the fighting in Syria raged and questions about the United States’ inaction grew, Secretary of State Hillary Rodham Clinton conferred privately with David H. Petraeus, the director of the C.I.A. The two officials were joining forces on a plan to arm the Syrian resistance.","{'main': 'Backstage Glimpses of Clinton as Dogged Diplomat, Win or Lose', 'kicker': None, 'content_kicker': None, 'print_headline': 'Backstage Glimpses of Clinton as Dogged Diplomat, Win or Lose', 'name': None, 'seo': None, 'sub': None}","Backstage Glimpses of Clinton as Dogged Diplomat, Win or Lose",0.04910714285714285,0.22767857142857142,0.0,0.22083333333333333,0.8,0.4,2013,2
"Having met on and off in almost complete secrecy for nearly four years, a bipartisan group of about eight House members hopes to unveil a proposal soon.","The group met, on and off, in almost complete secrecy for nearly four years. It lost members to political disagreements, and to re-election battles. After the November elections, it regrouped and redoubled its efforts.","{'main': 'House Group Works to Present Its Own Immigration Plan', 'kicker': None, 'content_kicker': None, 'print_headline': 'A Bipartisan House Group Works to Present Its Own Immigration Proposal', 'name': None, 'seo': None, 'sub': None}",House Group Works to Present Its Own Immigration Plan,0.1,0.4,0.06666666666666667,0.3,0.3,0.5,2013,2
"The Sunday political shows feature conversations about gun control, Chuck Hagel’s nomination hearings and immigration reform — including President Obama’s interviews with two Hispanic media organizations.","Gun control, the military and immigration take center stage on the Sunday shows this week.","{'main': 'Sunday Breakfast Menu, Feb. 3', 'kicker': 'The Caucus', 'content_kicker': None, 'print_headline': None, 'name': None, 'seo': None, 'sub': None}","Sunday Breakfast Menu, Feb. 3",0.0,0.1,-0.1,0.1,0.0,0.0,2013,2
Excerpts from the interview with Hillary Rodham Clinton as she left the post of secretary of state.,"Hillary Rodham Clinton was interviewed by Michael R. Gordon and Mark Landler on Thursday, her second-to-last day as secretary of state. Below are excerpts from the interview, which was conducted in her State Department office. Some of the questions have been edited for brevity. ","{'main': 'Interview With Hillary Clinton', 'kicker': None, 'content_kicker': None, 'print_headline': None, 'name': None, 'seo': None, 'sub': None}",Interview With Hillary Clinton,0.0,0.0,0.0,0.0,0.0,0.0,2013,2
"Chris Kyle, a former Navy SEAL, had taken a troubled fellow veteran to a gun range for a kind of therapy session, but the police said the man turned his gun on Mr. Kyle.","HOUSTON — From his perch in hide-outs above battle-scarred Iraq, Chris Kyle earned a reputation as one of America’s deadliest military snipers. The Pentagon said his skills with a rifle so terrorized Iraqi insurgents during his four tours of duty that they nicknamed him the “Devil of Ramadi” and put a bounty on his head.","{'main': 'Untouchable in Iraq, Ex-Sniper Dies in a Shooting Back Home', 'kicker': None, 'content_kicker': None, 'print_headline': 'Untouchable in Iraq, Ex-Sniper Dies in a Shooting Back Home', 'name': None, 'seo': None, 'sub': None}","Untouchable in Iraq, Ex-Sniper Dies in a Shooting Back Home",0.024999999999999994,0.475,-0.05,0.1,0.0,0.0,2013,2
A bill would make it a misdemeanor to use the miniature aircraft used by hobbyists and law enforcement authorities to take video or photographs of private property.,"A drone, no bigger than a toy airplane, hovered north of the Texas Capitol, floating over the heads of lawmakers who were momentarily distracted from their morning meetings. Several of them gathered beneath it, faces tilted skyward, marveling over a pair of goggles that allowed them to watch live video of the craft’s panoramic bird’s-eye view. ","{'main': 'Lawmakers Aim to Limit Drones and Safeguard Privacy', 'kicker': 'The Texas Tribune', 'content_kicker': None, 'print_headline': 'Lawmakers Aim to Limit Drones and Safeguard Privacy', 'name': None, 'seo': None, 'sub': None}",Lawmakers Aim to Limit Drones and Safeguard Privacy,0.0,0.375,0.04545454545454545,0.3333333333333333,0.0,0.0,2013,2
"A young man’s suicide highlights issues in the treatment of A.D.H.D., as youths fake symptoms to feed their addictions to potentially dangerous stimulants.","VIRGINIA BEACH — Every morning on her way to work, Kathy Fee holds her breath as she drives past the squat brick building that houses Dominion Psychiatric Associates.","{'main': 'Drowned in a Stream of Prescriptions', 'kicker': None, 'content_kicker': None, 'print_headline': 'Drowned in a Stream of Prescriptions', 'name': None, 'seo': None, 'sub': None}",Drowned in a Stream of Prescriptions,-0.3333333333333333,0.7666666666666666,-0.25,0.25,-0.1,0.1,2013,2
"In the United States, there are more than 11 million undocumented immigrants, accounting for 5 percent of the work force. In changing immigration laws, dynamics may be favorable, but obstacles still persist.","WASHINGTON — Immigration reform is having a “Kumbaya” moment, with support from the White House, a bipartisan contingent in Congress, business and labor.","{'main': 'A Rocky Road to Reforming Immigration', 'kicker': 'Letter From Washington', 'content_kicker': None, 'print_headline': 'A Rocky Road to Reforming Immigration', 'name': None, 'seo': None, 'sub': None}",A Rocky Road to Reforming Immigration,0.225,0.25,-0.05,0.3,0.0,0.0,2013,2
"Kevin L. James, a gay Republican, is a candidate for mayor of Los Angeles, and members of his party see an outside chance to grab what could be a spirit-lifting victory.","LOS ANGELES — Kevin L. James, a conservative talk show host running for mayor of Los Angeles, was sitting in his campaign office recently pondering which was his bigger obstacle to victory: being openly Republican, or being openly gay.","{'main': 'Battered California Republicans Find Hope in a Long Shot', 'kicker': None, 'content_kicker': None, 'print_headline': 'Battered California G.O.P. Finds Hope in a Long Shot', 'name': None, 'seo': None, 'sub': None}",Battered California Republicans Find Hope in a Long Shot,0.20833333333333334,0.3166666666666667,0.10416666666666667,0.45833333333333337,-0.05,0.4,2013,2
The Republican Party’s biggest donors are financing a new group to recruit seasoned candidates and protect Senate incumbents from challenges by far-right conservatives and Tea Party enthusiasts.,"COUNCIL BLUFFS, Iowa — The biggest donors in the Republican Party are financing a new group to recruit seasoned candidates and protect Senate incumbents from challenges by far-right conservatives and Tea Party enthusiasts who Republican leaders worry could complicate the party’s efforts to win control of the Senate.","{'main': 'Top Donors to Republicans Seek More Say in Senate Races', 'kicker': None, 'content_kicker': None, 'print_headline': 'Top G.O.P. Donors Seek Greater Say In Senate Races', 'name': None, 'seo': None, 'sub': None}",Top Donors to Republicans Seek More Say in Senate Races,0.19318181818181818,0.3522727272727273,0.3954545454545455,0.36818181818181817,0.5,0.5,2013,2
"More than a dozen governors invoked the Newtown, Conn.,  shooting as they opened their legislative sessions. But the debate has not always followed party lines.","Although the debate over curbing gun violence after the massacre in Newtown, Conn., is breaking down mostly along partisan lines in the nation’s statehouses — with several Democratic governors calling for stricter gun laws and most Republicans urging tighter security or revamped mental health policies — the handful of exceptions show the political and geographical complexities of the issue.","{'main': 'From State to State, Varied Responses to the Issue of Gun Violence', 'kicker': None, 'content_kicker': None, 'print_headline': 'From State to State, Varied Responses to the Issue of Gun Violence', 'name': None, 'seo': None, 'sub': None}","From State to State, Varied Responses to the Issue of Gun Violence",0.5,0.5,0.12407407407407407,0.26481481481481484,0.0,0.0,2013,2
The state has an unexpected $8.8 billion two years after it cut programs and services to meet a shortfall. But it is being held back by self-imposed caps.,"​​Ross Ramsey, the executive editor at The Texas Tribune, writes a column for The Tribune.","{'main': 'Plenty of Money in State Coffers, but Not to Spend', 'kicker': 'The Texas Tribune', 'content_kicker': None, 'print_headline': 'Plenty of Money In State Coffers, But Not to Spend', 'name': None, 'seo': None, 'sub': None}","Plenty of Money in State Coffers, but Not to Spend",0.05,0.5,0.0,0.0,0.0,0.0,2013,2
"With the oil heir Stanley Marsh 3 facing trial for sexual abuse, some Texans believe Cadillac Ranch, his art installation and roadside attraction near Amarillo, should be dismantled.","Cadillac Ranch, located just off Interstate 40 a few miles west of Amarillo, is one of the most famous roadside attractions in America. The art installation, consisting of 10 tail-finned, brightly painted Cadillacs planted nose down in a pasture, was financed in 1974 by Stanley Marsh 3, the eccentric Panhandle oil heir and arts patron. ","{'main': 'Disgraced Owner, but What About Cadillac Ranch?', 'kicker': 'Texas Monthly', 'content_kicker': None, 'print_headline': 'Disgraced Owner, but What About Cadillac Ranch?', 'name': None, 'seo': None, 'sub': None}","Disgraced Owner, but What About Cadillac Ranch?",0.3,0.6166666666666667,0.2240740740740741,0.5314814814814814,0.0,0.0,2013,2
